#WIDTH: 45,14,50,50,45,8,12,27,14,14,12,30,12
#ALIGN: left,left,left,left,left,center,left,left,center,left,left,left,center
Parameter Name,Category,Production,Test,Description,Required,Data Type,Validation Rules,Security Level,Owner Team,Dependencies,Notes,Last Updated
alb.idle_timeout_seconds,Networking,60,60,Connection idle timeout (seconds),Yes,Integer,Valid integer,Public,Networking,,From alb object,2025-11-30
alb.internal,Networking,false,false,Internal load balancer (not internet-facing),Yes,Boolean,true|false,Public,Networking,,From alb object,2025-11-30
alb.redirect_http_to_https,Networking,true,true,Redirect HTTP to HTTPS,Yes,Boolean,true|false,Public,Networking,,From alb object,2025-11-30
alb.redirect_status_code,Networking,HTTP_301,HTTP_301,HTTP redirect status code,Yes,String,Valid string value,Public,Networking,,From alb object,2025-11-30
alb.ssl_policy,Networking,ELBSecurityPolicy-TLS13-1-2-2021-06,ELBSecurityPolicy-TLS13-1-2-2021-06,SSL/TLS security policy,Yes,String,Valid string value,Public,Networking,,From alb object,2025-11-30
alb.unhealthy_threshold,Networking,3,3,Consecutive unhealthy checks required,Yes,Integer,Percentage (0-100),Public,Networking,,From alb object,2025-11-30
network.database_subnet_cidrs,Networking,"[""10.0.100.0/24"", ""10.0.110.0/24"", ""10.0.120.0/24""]","[""10.0.100.0/24"", ""10.0.110.0/24"", ""10.0.120.0/24""]",Database subnet CIDR blocks,Yes,List(String),Valid CIDR notation,Confidential,Networking,,From network object,2025-11-30
network.enable_dns_hostnames,Networking,true,true,Enable DNS hostnames in VPC,Yes,Boolean,true|false,Public,Networking,,From network object,2025-11-30
network.enable_dns_support,Networking,true,true,Enable DNS support in VPC,Yes,Boolean,Valid port number (1-65535),Public,Networking,,From network object,2025-11-30
network.enable_flow_logs,Networking,true,true,Enable VPC Flow Logs,Yes,Boolean,true|false,Public,Networking,,From network object,2025-11-30
network.enable_nat_gateway,Networking,true,true,Enable NAT Gateway for private subnets,Yes,Boolean,true|false,Public,Networking,,From network object,2025-11-30
network.flow_log_aggregation_interval,Networking,60,60,Flow log aggregation interval (seconds),Yes,Integer,Valid integer,Public,Networking,,From network object,2025-11-30
network.flow_log_destination_type,Networking,cloud-watch-logs,cloud-watch-logs,Flow log destination (cloud-watch-logs/s3),Yes,String,Valid string value,Public,Networking,,From network object,2025-11-30
network.flow_log_retention_days,Networking,90,90,Flow log retention period in days,Yes,Integer,Positive integer (days),Public,Networking,,From network object,2025-11-30
network.flow_log_traffic_type,Networking,ALL,ALL,Flow log traffic type (ALL/ACCEPT/REJECT),Yes,String,Valid string value,Public,Networking,,From network object,2025-11-30
network.http_port,Networking,80,80,HTTP port number,Yes,Integer,Valid port number (1-65535),Public,Networking,,From network object,2025-11-30
network.https_port,Networking,443,443,HTTPS port number,Yes,Integer,Valid port number (1-65535),Public,Networking,,From network object,2025-11-30
network.map_public_ip_on_launch,Networking,true,true,Auto-assign public IPs in public subnets,Yes,Boolean,true|false,Public,Networking,,From network object,2025-11-30
network.private_subnet_cidrs,Networking,"[""10.0.10.0/24"", ""10.0.20.0/24"", ""10.0.30.0/24""]","[""10.0.10.0/24"", ""10.0.20.0/24"", ""10.0.30.0/24""]",Private subnet CIDR blocks,Yes,List(String),Valid CIDR notation,Confidential,Networking,,From network object,2025-11-30
network.public_subnet_cidrs,Networking,"[""10.0.1.0/24"", ""10.0.2.0/24"", ""10.0.3.0/24""]","[""10.0.1.0/24"", ""10.0.2.0/24"", ""10.0.3.0/24""]",Public subnet CIDR blocks,Yes,List(String),Valid CIDR notation,Confidential,Networking,,From network object,2025-11-30
network.single_nat_gateway,Networking,false,false,Use single NAT (cost) vs HA NAT (reliability),Yes,Boolean,true|false,Public,Networking,,From network object,2025-11-30
network.ssh_port,Networking,22,22,SSH port number,Yes,Integer,Valid port number (1-65535),Public,Networking,,From network object,2025-11-30
network.vpc_cidr,Networking,10.0.0.0/16,10.0.0.0/16,VPC CIDR block,Yes,String,Valid CIDR notation,Confidential,Networking,,From network object,2025-11-30
aws.region,Project,us-east-1,us-east-1,Primary AWS region,Yes,String,Valid string value,Public,Infrastructure,,From aws object,2025-11-30
ownership.cost_center,Project,CC-00000,CC-00000,Cost center for billing,Yes,String,Valid string value,Public,Infrastructure,,From ownership object,2025-11-30
ownership.owner_email,Project,team@example.com,team@example.com,Owner email for notifications,Yes,String,Valid email address,Confidential,Infrastructure,,From ownership object,2025-11-30
ownership.project_code,Project,PRJ-SAMPLE,PRJ-SAMPLE,Project tracking code,Yes,String,Valid string value,Public,Infrastructure,,From ownership object,2025-11-30
security.allowed_http_cidrs,Security,"[""0.0.0.0/0""]","[""0.0.0.0/0""]",CIDR blocks allowed HTTP access,Yes,List(String),Valid CIDR notation,Confidential,Security,,From security object,2025-11-30
security.allowed_https_cidrs,Security,"[""0.0.0.0/0""]","[""0.0.0.0/0""]",CIDR blocks allowed HTTPS access,Yes,List(String),Valid CIDR notation,Confidential,Security,,From security object,2025-11-30
security.allowed_ssh_cidrs,Security,[],[],CIDR blocks allowed SSH access,No,List,Valid CIDR notation,Confidential,Security,,From security object,2025-11-30
security.cache_port,Security,6379,6379,Cache port number,Yes,Integer,Valid port number (1-65535),Public,Security,,From security object,2025-11-30
security.cloudtrail_enable_log_validation,Security,true,true,Enable log file validation,Yes,Boolean,true|false,Public,Security,,From security object,2025-11-30
security.cloudtrail_event_read_write_type,Security,All,All,Event types to log (All/ReadOnly/WriteOnly),Yes,String,Valid string value,Public,Security,,From security object,2025-11-30
security.cloudtrail_include_global_events,Security,true,true,Include global service events,Yes,Boolean,true|false,Public,Security,,From security object,2025-11-30
security.cloudtrail_include_management_events,Security,true,true,Include management events,Yes,Boolean,true|false,Public,Security,,From security object,2025-11-30
security.cloudtrail_is_multi_region,Security,true,true,Enable multi-region trail,Yes,Boolean,true|false,Public,Security,,From security object,2025-11-30
security.cloudtrail_retention_days,Security,365,30,CloudTrail log retention (days),Yes,Integer,Positive integer (days),Public,Security,,From security object,2025-11-30
security.db_port,Security,5432,5432,Database port number,Yes,Integer,Valid port number (1-65535),Public,Security,,From security object,2025-11-30
security.enable_cloudtrail,Security,true,false,Enable CloudTrail API logging,Yes,Boolean,true|false,Public,Security,,From security object,2025-11-30
security.enable_guardduty,Security,true,false,Enable Amazon GuardDuty threat detection,Yes,Boolean,true|false,Public,Security,,From security object,2025-11-30
security.enable_instance_profile,Security,true,true,Enable IAM instance profile,Yes,Boolean,true|false,Public,Security,,From security object,2025-11-30
security.enable_key_rotation,Security,true,true,Enable automatic KMS key rotation,Yes,Boolean,true|false,Public,Security,,From security object,2025-11-30
security.enable_kms_encryption,Security,true,true,Enable KMS encryption for resources,Yes,Boolean,true|false,Public,Security,,From security object,2025-11-30
security.enable_ssh_access,Security,false,false,Enable SSH access to instances,Yes,Boolean,true|false,Public,Security,,From security object,2025-11-30
security.enable_ssm_access,Security,true,true,Enable SSM Session Manager access,Yes,Boolean,true|false,Public,Security,,From security object,2025-11-30
security.enable_waf,Security,true,false,Enable AWS WAF on ALB,Yes,Boolean,true|false,Public,Security,,From security object,2025-11-30
security.guardduty_eks_protection,Security,false,false,Enable GuardDuty EKS protection,Yes,Boolean,true|false,Public,Security,,From security object,2025-11-30
security.guardduty_finding_frequency,Security,FIFTEEN_MINUTES,FIFTEEN_MINUTES,GuardDuty finding publishing frequency,Yes,String,Valid string value,Public,Security,,From security object,2025-11-30
security.guardduty_malware_protection,Security,true,true,Enable GuardDuty malware protection,Yes,Boolean,true|false,Public,Security,,From security object,2025-11-30
security.guardduty_s3_protection,Security,true,true,Enable GuardDuty S3 protection,Yes,Boolean,true|false,Public,Security,,From security object,2025-11-30
security.guardduty_severity_threshold,Security,7,7,GuardDuty alert severity threshold (1-10),Yes,Integer,Valid integer,Public,Security,,From security object,2025-11-30
security.kms_deletion_window,Security,30,30,KMS key deletion window (days),Yes,Integer,Valid integer,Public,Security,,From security object,2025-11-30
security.metadata_hop_limit,Security,1,1,IMDS hop limit,Yes,Integer,Valid integer,Public,Security,,From security object,2025-11-30
security.require_imdsv2,Security,true,true,Require Instance Metadata Service v2,Yes,Boolean,true|false,Public,Security,,From security object,2025-11-30
security.s3_block_public_acls,Security,true,true,Block public ACLs on S3 buckets,Yes,Boolean,true|false,Public,Security,,From security object,2025-11-30
security.s3_block_public_policy,Security,true,true,Block public policies on S3 buckets,Yes,Boolean,true|false,Public,Security,,From security object,2025-11-30
security.s3_encryption_algorithm,Security,aws:kms,aws:kms,S3 server-side encryption algorithm,Yes,String,Valid string value,Public,Security,,From security object,2025-11-30
security.s3_ignore_public_acls,Security,true,true,Ignore public ACLs on S3 buckets,Yes,Boolean,true|false,Public,Security,,From security object,2025-11-30
security.s3_noncurrent_version_days,Security,30,30,S3 noncurrent version retention (days),Yes,Integer,Positive integer (days),Public,Security,,From security object,2025-11-30
security.s3_restrict_public_buckets,Security,true,true,Restrict public bucket policies,Yes,Boolean,true|false,Public,Security,,From security object,2025-11-30
security.waf_ip_address_version,Security,IPV4,IPV4,WAF IP address version (IPV4/IPV6),Yes,String,Valid string value,Public,Security,,From security object,2025-11-30
security.waf_rate_limit,Security,2000,10000,WAF rate limit per IP (5-min window),Yes,Integer,Valid integer,Public,Security,,From security object,2025-11-30
security.waf_rule_priorities,Security,"{ rate_limit = 1, blocked_ip = 2, geo_block = 3, common_rules = 10, sqli = 20, bad_inputs = 30 }","{ rate_limit = 1, blocked_ip = 2, geo_block = 3, common_rules = 10, sqli = 20, bad_inputs = 30 }",WAF rule priority mappings,Yes,Map,Valid key-value map,Public,Security,,From security object,2025-11-30
